,orient,wwr,glazing,shading,shgc,inf_rate,exterior_mat,exterior_t (in),interior_mat,interior_t (in),Embodied (kg CO2e / ft2),Win Embodied (kg CO2e / ft2),Wall Embodied (kg CO2e / ft2),Operational (kg CO2e / ft2 * year),Cooling EUI (kBtu / ft2 * year),Heating EUI (kBtu / ft2 * year),Lighting EUI (kBtu / ft2 * year),Wall R (ft2 * F * h / BTU),city,program,city_gwp,tot_eui_kwh,area,payback_linear,Total GWP Linear (kg CO2e / ft2) 50 year,Op GWP Linear (kg CO2e / ft2) 50 year,Total GWP non-linear 2% (kg CO2e / ft2) 50 year,Op GWP non-linear 2% (kg CO2e / ft2) 50 year,Total GWP non-linear 3% (kg CO2e / ft2) 50 year,Op GWP non-linear 3% (kg CO2e / ft2) 50 year,Total GWP non-linear 5% (kg CO2e / ft2) 50 year,Op GWP non-linear 5% (kg CO2e / ft2) 50 year
at_s_80_8_0_office_glz.json,s,0.8,Triple,0.0,0.25,0.00059,Polyiso,4.0,Cellulose,6.0,5.592481125919180,4.710859883729440,0.8816212421897430,6.56700689898474,31.31814922266300,7.467968369074080,3.8538772892325700,53.9,Atlanta,office,0.399590512,36677.53758034800,2231.76193448134,0.85,333.9428260751560,328.3503449492370,173.0511570500300,167.4586759241110,118.34798958148700,112.75550845556800,74.54605356525900,68.95357243933980
se_n_80_9_0_office_glz.json,n,0.8,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,6.0,5.688884469446200,4.710859883729440,0.9780245857167640,1.3534988384804500,4.085748641642610,11.920709609032900,4.598403693731100,60.9,Seattle,office,0.135669,22265.124575882400,2231.76193448134,4.2,73.36382639346890,67.6749419240227,40.20310485069780,34.51422038125160,28.928459526155600,23.239575056709400,19.900622273491000,14.211737804044800
la_e_0_6_0_residential_glz.json,e,0.0,Triple,0.0,0.25,0.00059,Polyiso,0.0,Cellulose,9.25,1.3256795122068100,0.0,1.3256795122068100,1.6177809493091000,2.8079194503495100,0.18190073793589400,1.9252056155166500,34.7,Los Angeles,residential,0.175630822,8749.783750538340,949.900982012169,0.82,82.21472697766170,80.88904746545490,42.57909371958870,41.25341420738190,29.102978411844000,27.777298899637200,18.312379479952300,16.986699967745500
ny_e_0_3_1_residential_glz.json,e,0.0,Triple,0.0,0.25,0.0003,Polyiso,0.0,Cellulose,3.5,0.9976530442066770,0.0,0.9976530442066770,2.1931027340675400,9.262922609118310,5.918123637247320,1.9252056155166500,15.5,New York,residential,0.171548494,12143.682478170500,949.900982012169,0.45,110.65278974758400,109.65513670337700,56.921772762929100,55.92411971872240,38.653226988146400,37.655573943939700,24.02523175191590,23.02757870770920
ny_n_80_11_0_residential_glz.json,n,0.8,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,9.25,3.410817864755530,2.8536913354234400,0.5571265293320900,2.665685123050040,11.97673901657110,12.849236595011700,1.680051410918110,69.7,New York,residential,0.171548494,14760.473013073900,949.900982012169,1.28,136.69507401725800,133.284256152502,71.38578850253160,67.9749706377761,49.18063142752470,45.7698135627692,31.400511656781000,27.989693792025400
mi_s_40_8_2_residential_glz.json,s,0.4,Triple,0.0,0.25,0.00015,Polyiso,2.0,Cellulose,9.25,2.572642127304680,1.4268456677117200,1.145796459592960,6.897122393459650,7.321393724017630,6.509770354762710,1.732844582655860,48.7,Milwaukee,residential,0.559278936,11714.339505547600,949.900982012169,0.37,347.4287618002870,344.85611967298300,178.44926316052600,175.87662103322100,120.99623362300700,118.42359149570200,74.99242725863100,72.41978513132640
se_s_0_3_1_residential_glz.json,s,0.0,Triple,0.0,0.25,0.0003,Polyiso,0.0,Cellulose,3.5,0.9976530442066770,0.0,0.9976530442066770,1.3473324822708700,2.183602802438440,3.2621668587228500,1.9252056155166500,15.5,Seattle,residential,0.135669,9433.492161112660,949.900982012169,0.74,68.36427715775020,67.36662411354360,35.35463134211390,34.35697829790720,24.131351764797500,23.133698720590900,15.144644108050800,14.146991063844100
sa_e_0_4_1_office_glz.json,e,0.0,Triple,0.0,0.25,0.0003,Polyiso,0.0,Cellulose,6.0,2.4800393404083000,0.0,2.4800393404083000,5.95039833812695,25.213666097458400,1.7995597325252200,8.556175103480660,25.9,San Antonio,office,0.414311,32052.908337053000,2231.76193448134,0.42,299.9999562467560,297.51991690634700,154.21519696264500,151.73515762223700,104.64837880604800,102.16833946564000,64.95922189074120,62.479182550332900
mi_s_20_8_2_office_glz.json,s,0.2,Triple,0.0,0.25,0.00015,Polyiso,4.0,Cellulose,6.0,4.704199939691330,1.1777149709323600,3.526484968758970,6.018518792460990,8.235256532807990,9.695998439292840,5.3512256481748900,53.9,Milwaukee,office,0.559278936,24016.461694482700,2231.76193448134,0.78,305.6301395627410,300.9259396230490,158.17642914744700,153.47222920775500,108.04216760624700,103.3379676665550,67.89864726053170,63.19444732084030
sa_w_0_11_1_office_glz.json,w,0.0,Triple,0.0,0.25,0.0003,Polyiso,6.0,Cellulose,8.0,5.970567202267260,0.0,5.970567202267260,5.795536212027890,24.336336907970800,1.4014913222685700,8.556175103480660,75.3,San Antonio,office,0.414311,31218.715187171000,2231.76193448134,1.03,295.74737780366200,289.7768106013940,153.75674060897800,147.786173406711,105.47992396278600,99.5093567605188,66.82369742856000,60.85313022629280
ny_w_80_8_1_office_glz.json,w,0.8,Triple,0.0,0.25,0.0003,Polyiso,4.0,Cellulose,6.0,5.592481125919180,4.710859883729440,0.8816212421897430,2.488060187929830,20.348468528780500,11.649458445592500,4.053898071928300,53.9,New York,office,0.171548494,32368.445147179600,2231.76193448134,2.25,129.99549052241100,124.40300939649100,69.03801591812980,63.44553479221060,48.31247455267430,42.71999342675510,31.71711309918240,26.124631973263200
la_n_40_2_2_office_glz.json,n,0.4,Triple,0.0,0.25,0.00015,Polyiso,1.0,Cellulose,0.0,3.7899833195255300,2.355429941864720,1.4345533776608100,1.3804903152138500,7.238041333673780,1.4513325933732500,4.694390398224160,10.7,Los Angeles,office,0.175630822,17542.05612278250,2231.76193448134,2.75,72.81449908021800,69.02451576069240,38.99248635747860,35.20250303795310,27.493002031747300,23.703018712221800,18.285131629270900,14.495148309745400
