filename,site,size,footprint,height,num_stories,num_adiabatic,inf_rate,orientation,WWR,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,EUI,carbon,kgCO2e
n_20_3_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,0,0,5,5,4.937546531,810.1583246,965.841871,2000,0.482920935,139.251,1107.342041,0.135669
n_20_3_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,1,0,5,5,4.937546531,810.1583246,965.841871,2000,0.482920935,139.251,1107.342041,0.135669
n_10_1_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.1,0,0,3.5,1,0,5,5,2.723708136,2225.954944,967.1889137,2000,0.483594457,139.487,1109.222567,0.135669
n_10_1_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.1,0,0,3.5,1,0,5,5,2.723708136,2225.954944,967.1889137,2000,0.483594457,139.487,1109.222567,0.135669
n_20_5_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,0,5,5,5,7.351032352,1050.646485,991.7655344,2000,0.495882767,139.562,1109.819999,0.135669
n_20_5_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,0,5,5,5,7.351032352,1050.646485,991.7655344,2000,0.495882767,139.562,1109.819999,0.135669
n_20_2_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.2,1,0,5.5,1,0,5,5,3.904421947,2225.954944,967.1889137,2000,0.483594457,139.819,1111.856814,0.135669
n_20_2_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.2,1,0,5.5,1,0,5,5,3.904421947,2225.954944,967.1889137,2000,0.483594457,139.819,1111.856814,0.135669
n_10_1_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.1,0,0,3.5,0,5,5,5,2.723708136,1972.217303,970.726696,2000,0.485363348,139.913,1112.610537,0.135669
n_10_1_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.1,0,0,3.5,0,5,5,5,2.723708136,1972.217303,970.726696,2000,0.485363348,139.913,1112.610537,0.135669
n_10_2_0_2_0_1,2,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,0,0,5,5,3.904421947,1619.025972,1002.701919,2000,0.50135096,139.941,1112.832368,0.135669
n_10_2_0_2_1_1,2,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,1,0,5,5,3.904421947,1619.025972,1002.701919,2000,0.50135096,139.941,1112.832368,0.135669
n_10_2_1_2_0_1,2,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,0,0,5,5,3.904421947,1619.025972,1002.701919,2000,0.50135096,139.941,1112.832368,0.135669
n_10_2_1_2_1_1,2,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,1,0,5,5,3.904421947,1619.025972,1002.701919,2000,0.50135096,139.941,1112.832368,0.135669
n_10_2_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,1,0,5,5,3.904421947,1170.409731,1002.009859,2000,0.50100493,140.273,1115.466616,0.135669
n_10_2_1_1_1_1,1,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,1,0,5,5,3.904421947,1170.409731,1002.009859,2000,0.50100493,140.273,1115.466616,0.135669
n_20_2_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.2,1,0,5.5,0,5,5,5,3.904421947,1972.217303,970.726696,2000,0.485363348,140.292,1115.620386,0.135669
n_20_2_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.2,1,0,5.5,0,5,5,5,3.904421947,1972.217303,970.726696,2000,0.485363348,140.292,1115.620386,0.135669
n_20_5_0_2_0_1,2,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,0,0,5,5,7.351032352,1619.025972,1002.701919,2000,0.50135096,140.462,1116.971541,0.135669
n_20_5_0_2_1_1,2,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,1,0,5,5,7.351032352,1619.025972,1002.701919,2000,0.50135096,140.462,1116.971541,0.135669
n_20_5_1_2_0_1,2,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,0,0,5,5,7.351032352,1619.025972,1002.701919,2000,0.50135096,140.462,1116.971541,0.135669
n_20_5_1_2_1_1,2,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,1,0,5,5,7.351032352,1619.025972,1002.701919,2000,0.50135096,140.462,1116.971541,0.135669
n_10_1_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.1,0,0,3.5,0,0,5,5,2.723708136,810.1583246,965.841871,2000,0.482920935,140.481,1117.12531,0.135669
n_10_1_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.1,0,0,3.5,1,0,5,5,2.723708136,810.1583246,965.841871,2000,0.482920935,140.481,1117.12531,0.135669
n_10_1_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.1,0,0,3.5,0,0,5,5,2.723708136,810.1583246,965.841871,2000,0.482920935,140.481,1117.12531,0.135669
n_10_1_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.1,0,0,3.5,1,0,5,5,2.723708136,810.1583246,965.841871,2000,0.482920935,140.481,1117.12531,0.135669
n_20_4_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,0,5,5,5,6.118260341,1050.646485,991.7655344,2000,0.495882767,140.557,1117.725263,0.135669
